Ticker,rank,score,name,sector,index,price,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,new_52w_high,pct_vs_50dma,pct_vs_200dma,above_50dma,above_200dma,vol_ratio_20_60,volume_x
CDW,78,0.7068994381378283,CDW Corporation,Information Technology,SP500,147.69000244140625,0.019480167928050962,0.18290580407735968,0.2171838633234624,0.5672514619883041,0.8128654970760234,0.8050682261208577,0.24171539961013644,-0.11754208194895777,False,0.07784619394639924,0.13426668541491504,True,True,0.9004507980477523,0.8487673777140907
TRV,79,0.7029365898406147,Travelers Companies (The),Financials,SP500,369.8999938964844,-0.01619722996905959,0.27255609337781506,0.20787631450369415,0.3489278752436647,0.9337231968810916,0.7953216374269005,0.03508771929824561,-0.06877802537702327,False,0.03371086565154835,0.19720995236579975,True,True,0.590954898073449,0.6474609800866624
NEM,80,0.6990861139777549,Newmont,Materials,SP500,127.9800033569336,0.3364661706551153,0.16546768238151066,-0.011242750804994595,0.9883040935672515,0.7738791423001949,0.3723196881091618,0.6549707602339181,-0.052982063527101775,False,0.22632725873171133,0.19259641928367377,True,True,1.12096662792895,0.9787844698460589
GRMN,81,0.6964442151129457,Garmin,Consumer Discretionary,SP500,285.19000244140625,-0.041539189576987656,0.22457781700808566,0.1373297637770361,0.20272904483430798,0.8830409356725146,0.7017543859649122,0.07602339181286555,-0.08931536880067847,False,0.06269447735111555,0.21280430479103107,True,True,0.5796201686523745,0.9153734090176411
BNY,82,0.6955853686503842,BNY Mellon,Financials,SP500,162.5,0.04113274022058566,0.1700982414026413,0.37526788060676775,0.6569200779727096,0.7855750487329435,0.9220272904483431,-0.02729044834307992,-0.010774969418794078,False,0.04605248419038066,0.24259508899528415,True,True,0.746048105339673,0.5990842162479048
HPE,83,0.6927542712991629,Hewlett Packard Enterprise,Information Technology,SP500,52.310001373291016,0.1096733570339814,0.2189368400139915,1.4593074843438933,0.8304093567251462,0.8771929824561403,0.9922027290448343,-0.11306042884990253,-0.1255432691381807,False,0.05499445649013257,0.6155755109429921,True,True,0.6532022144230233,0.670999465488766
A,84,0.6917371861025112,Agilent Technologies,Health Care,SP500,153.83999633789062,0.10907641043687488,0.1372824700342683,0.2727600492487894,0.8265107212475633,0.7173489278752436,0.8635477582846004,-0.1793372319688109,-0.032452853220813704,False,0.09786102066946478,0.1732635568037051,True,True,0.6413711561388996,1.4305914512019136
MDT,85,0.6911156977410847,Medtronic,Health Care,SP500,91.2300033569336,0.06440327069681362,0.24716351290520278,-0.0497162388255602,0.7368421052631579,0.9044834307992202,0.29434697855750486,0.30604288499025334,-0.11260461184120107,False,0.0680233456666488,0.028496009874106054,True,True,0.6881411575705295,0.8475705346214536
FOX,86,0.6897167755991285,Fox Corporation (Class B),Communication Services,SP500,61.31999969482422,0.17157049132702995,0.06847883511015751,0.19175621394075715,0.9337231968810916,0.5419103313840156,0.7758284600389863,0.3742690058479532,-0.0901778737357175,False,0.16030441168934773,0.07912442734923064,True,True,0.7803456424826972,0.6023606628892094
RMD,87,0.6893188854489164,ResMed|,Health Care,SP500,240.3300018310547,0.15563718332776189,0.2647304066067433,-0.05667530457940739,0.9142300194931774,0.9239766081871345,0.28460038986354774,0.6296296296296295,-0.14264104540496048,False,0.1398555138433728,0.056148394308186855,True,True,0.9418952039227589,0.9603431968652885
